ndims,neval,result_mean,result_sdev,result_gen_time,result_eval_time,run_num,total_time,eval_time_perc
2,1000000,-2.1183227519931482,0.07060009862477444,0.025931119918823242,0.015957355499267578,1,0.04188847541809082,0.38
4,1000000,21.770396722150476,7.0698845539158475,0.041887521743774414,0.01595783233642578,1,0.057845354080200195,0.28
6,1000000,-257.2345537899174,707.1242307615995,0.052858591079711914,0.01595759391784668,1,0.0688161849975586,0.23
8,1000000,-68312.86473527424,70739.93707622567,0.07779169082641602,0.01495981216430664,1,0.09275150299072266,0.16
2,1000000,-1.9403326771978118,0.07065440205274676,0.021941184997558594,0.014960289001464844,2,0.03690147399902344,0.41
4,1000000,-2.4123867264655154,7.068867472400751,0.03989291191101074,0.013962984085083008,2,0.05385589599609375,0.26
6,1000000,-493.8163425877751,706.7227642838033,0.052858591079711914,0.014960050582885742,2,0.06781864166259766,0.22
8,1000000,-15282.793812062298,70681.442007832,0.07779192924499512,0.01595759391784668,2,0.0937495231628418,0.17
2,1000000,-2.135594250128677,0.07061672946145776,0.023936033248901367,0.015957117080688477,3,0.039893150329589844,0.4
4,1000000,-3.5321786086622207,7.066580658937926,0.039893388748168945,0.015957355499267578,3,0.05585074424743652,0.29
6,1000000,82.67152671716812,707.0332431280702,0.06283211708068848,0.016954898834228516,3,0.07978701591491699,0.21
8,1000000,26478.600282061157,70705.13002706977,0.08477306365966797,0.016954898834228516,3,0.10172796249389648,0.17
2,1000000,-2.050161451864165,0.07070056903498517,0.021941184997558594,0.01495981216430664,4,0.036900997161865234,0.41
4,1000000,17.048201499991087,7.0705709790955815,0.03390955924987793,0.01296544075012207,4,0.046875,0.28
6,1000000,-595.7380122845842,706.9190536016811,0.05186104774475098,0.015957355499267578,4,0.06781840324401855,0.24
8,1000000,-102053.42808324094,70719.05928092673,0.07280564308166504,0.015957355499267578,4,0.08876299858093262,0.18
2,1000000,-1.962490567256617,0.07064441204222362,0.0249330997467041,0.013962984085083008,5,0.03889608383178711,0.36
4,1000000,-1.3688850724485906,7.071031058069934,0.03490638732910156,0.014960050582885742,5,0.049866437911987305,0.3
6,1000000,-119.40472819134988,707.1263921067566,0.05186152458190918,0.015956878662109375,5,0.06781840324401855,0.24
8,1000000,-65009.48377784176,70709.89586338215,0.07878971099853516,0.01495981216430664,5,0.0937495231628418,0.16
2,1000000,-2.1339699489800137,0.07065182091685314,0.02293872833251953,0.013962984085083008,6,0.03690171241760254,0.38
4,1000000,14.528545205028793,7.07155158854273,0.03690075874328613,0.013962745666503906,6,0.05086350440979004,0.27
6,1000000,-884.1346515968405,706.8801071300691,0.05285906791687012,0.015957117080688477,6,0.0688161849975586,0.23
8,1000000,1125.922413962411,70703.75295760528,0.0827789306640625,0.01495981216430664,6,0.09773874282836914,0.15
2,1000000,-1.965120408480615,0.07065329605522916,0.02293872833251953,0.012965917587280273,7,0.035904645919799805,0.36
4,1000000,9.104097826164143,7.071700138199307,0.041887760162353516,0.015957117080688477,7,0.05784487724304199,0.28
6,1000000,-649.1939473492398,706.753726746333,0.05385565757751465,0.015957355499267578,7,0.06981301307678223,0.23
8,1000000,-94489.14099774846,70691.17591124952,0.07579755783081055,0.016954660415649414,7,0.09275221824645996,0.18
2,1000000,-2.0233042662007295,0.07066732323088566,0.02293848991394043,0.013962984085083008,8,0.03690147399902344,0.38
4,1000000,16.145365535102147,7.070017076085404,0.03490638732910156,0.01495981216430664,8,0.0498661994934082,0.3
6,1000000,1054.0731702514786,707.1820337745628,0.05186128616333008,0.013962745666503906,8,0.06582403182983398,0.21
8,1000000,104033.45161681573,70733.66727139689,0.07480025291442871,0.01396322250366211,8,0.08876347541809082,0.16
2,1000000,-2.00331947103213,0.07060165261722422,0.020944595336914062,0.012964725494384766,9,0.03390932083129883,0.38
4,1000000,15.38684830632315,7.071327631315092,0.034906625747680664,0.013962745666503906,9,0.04886937141418457,0.29
6,1000000,1393.3234182581189,706.3046072922115,0.05086398124694824,0.013962507247924805,9,0.06482648849487305,0.22
8,1000000,-9544.662661488383,70707.10978061837,0.07081151008605957,0.015956878662109375,9,0.08676838874816895,0.18
2,1000000,-1.958180538695025,0.07063961095887149,0.023935556411743164,0.014960527420043945,10,0.03889608383178711,0.38
4,1000000,6.081214015884902,7.071801132937416,0.033908843994140625,0.013962984085083008,10,0.04787182807922363,0.29
6,1000000,990.4139757868988,707.1426727400436,0.052858829498291016,0.015956878662109375,10,0.06881570816040039,0.23
8,1000000,-16964.488139943973,70783.68351396773,0.07579779624938965,0.015957117080688477,10,0.09175491333007812,0.17
